ind,S1,S1_conf,ST,ST_conf
x1,0.058884574560402275,0.020117116886609117,0.4931008245798605,0.03177949048464882
x2,0.032675780939011405,0.01641949509553527,0.3104354418254145,0.016955040476844575
x3,0.01568413025841754,0.003381436908656018,0.015507704156867539,0.0005528245209099535
x4,-0.006186674530888624,0.021201487877457667,0.42777924095745185,0.02412504923764496
x5,0.00012004260352917224,0.004155560387482172,0.020597094708849715,0.0008680518270399001
x6,-0.00032412069096788117,0.004114724419727815,0.020683261210561056,0.000914736147606684
x7,-0.000322360521168535,0.0012822509200476092,0.0022996671637292208,9.14517284812373e-05
x8,-0.0003090277046080431,0.001349613101005576,0.0023000016795562705,9.050825952455276e-05
x9,0.005865724790839776,0.002134489650791964,0.0058012226799019255,0.00020422101958556275
x10,0.3706589731387568,0.017929191832505922,0.3709166586688878,0.012573968675086266
