ind,S1,S1_conf,ST,ST_conf
x1,0.06880914579663479,0.009694880982000515,0.49401363355763445,0.014511761673760584
x2,0.03696712923922561,0.007596166902256337,0.3100926130914421,0.007525419011222378
x3,0.015511825639449733,0.0015256658314440744,0.015440584399915601,0.0002569924262308579
x4,-0.0016860221378867649,0.009288935514070024,0.42373235918289087,0.011081206190281629
x5,-3.89988242483828e-05,0.0018608991836537795,0.02059250560140144,0.0003950791645057429
x6,-0.00012445465967688058,0.0018770624663544883,0.02059663025943177,0.0004145428160257563
x7,-0.0001667650627660457,0.0005885553168327717,0.002296484713317847,4.157485893681496e-05
x8,-3.7559598798740793e-05,0.0005912117925059682,0.0022972902086799292,4.1252580413188124e-05
x9,0.005792500042124834,0.0009522375639354631,0.005792463329947164,9.40738048629046e-05
x10,0.37050446706401285,0.008216539993352662,0.37064873641302354,0.005812250318503701
