nan,6.381930740686936332e-02,4.543013370564622649e-03,2.121027516986219996e-01,4.149154458458467754e-03,5.164226603888755901e-03,4.320662495833712917e-03,4.830759702767585019e-03,4.678501299254090966e-03,4.455103114553493615e-03
nan,nan,1.056303970033568504e-02,5.791290255852522828e-02,1.093842673834859863e-02,1.082797518210737095e-02,1.058280190727916605e-02,1.081204420662737649e-02,1.041013337363424010e-02,1.145566674142867170e-02
nan,nan,nan,-1.928464589286537495e-04,9.045594750079588131e-05,5.652991456633584466e-05,1.604365622960002009e-04,3.249226171028681042e-05,7.749252281043835650e-05,-6.558242919713075381e-05
nan,nan,nan,nan,-4.459544439527412044e-03,-5.009557649617824363e-03,-4.001019819810418092e-03,-3.124291151342821916e-03,-3.796514947841596842e-03,1.423858159606383733e-03
nan,nan,nan,nan,nan,1.985817971767628656e-02,-9.816008109349784634e-04,-1.007130011838514938e-03,-9.616805953231643764e-04,-9.861621951720023205e-04
nan,nan,nan,nan,nan,nan,2.061206224874578049e-04,1.814090485999147800e-04,1.973710167494134929e-04,1.218862120194730281e-04
nan,nan,nan,nan,nan,nan,nan,2.005766685026189825e-03,-2.924998966993544100e-04,-2.234144111688540768e-04
nan,nan,nan,nan,nan,nan,nan,nan,-1.043573082630004298e-04,-2.666200036273713714e-04
nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.942771287291813920e-05
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
